obj-762541 | Mumiensandalen (Paar) mit Streifendekor | Mumiensandale (Grabausstattung / Mumienhülle) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit
obj-759032 | Ba-Vogel, gekrönt mit Sonnenscheibe | Statuette (Rundbild ) | Ägyptisches Museum und Papyrussammlung | 3. Zwischenzeit
obj-606192 | Anthropomorpher Sargdeckel des Sa-Iset | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | Ramses II. / Datierung engl.: Ramesses II
obj-607488 | Anthropomorpher Sarg der Hat | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit
obj-1079254 | Amulett mit Liebeszauber | Blatt (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Byzantinische (Koptische) Zeit
obj-606196 | Stand-Schreitfigur eines Mannes | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: Sesostris II. / Datierung engl.: Senwosret II
obj-762226 | Mumientuch eines jungen Mannes | Mumientuch (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | Römische Kaiserzeit
obj-757079 | Herzskarabäus des Ipu | Skarabäus (Kleinkunst) | Ägyptisches Museum und Papyrussammlung | 18.–19. Dynastie
obj-601054 | Mumienband mit eingepressten Darstellungen: König Takelot II. vor Nechbet (?) | Mumienband ( Mumienhülle  -> Grabausstattung ) | Ägyptisches Museum und Papyrussammlung | Takelot II.
obj-601053 | Mumienband mit eingepressten Darstellungen von König Osorkon I. vor Mut | Mumienband ( Mumienhülle  -> Grabausstattung ) | Ägyptisches Museum und Papyrussammlung | Osorkon I.
obj-757048 | Länglich, ovale Perle des Parii | Perle (Kleinkunst / Schmuck) | Ägyptisches Museum und Papyrussammlung | Neues Reich / Datierung engl.: New Kingdom
obj-601118 | Kanope (Scheinkanope) mit angedeutetem Deckel in Gestalt eines Paviankopfes (Hapi) | Kanope (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 21.–22. Dynastie / Datierung engl.: 21st - 22nd Dynasty
obj-601116 | Kanope (Scheinkanope) mit angedeutetem Deckel in Gestalt eines Falkenkopfes (Kebech-senuef) | Kanope (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 21.–22. Dynastie / Datierung engl.: 21st - 22nd Dynasty
obj-601115 | Kanope (Scheinkanope) mit angedeutetem Deckel in Gestalt eines Menschenkopfes (Amset) | Kanope (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 21.–22. Dynastie / Datierung engl.: 21st - 22nd Dynasty
